Passenger,Gender,Customer_Type,Age,Type_of_Travel,Class,Flight_Distance,Inflight_wifi_service,Departure/Arrival_time_convenient,Food_and_drink,Seat_comfort,Inflight_entertainment,Inflight_service,Cleanliness,Departure_Delay_in_Minutes,Arrival_Delay_in_Minutes,satisfaction
379,Female,disloyal_Customer,24,Business_travel,Eco,1455,2,2,2,4,2,3,4,0,0,neutral_or_dissatisfied
395,Female,disloyal_Customer,24,Business_travel,Eco,920,4,4,3,3,3,3,3,0,0,neutral_or_dissatisfied
404,Female,disloyal_Customer,15,Business_travel,Eco,370,3,2,4,3,4,4,4,3,8,neutral_or_dissatisfied
424,Female,disloyal_Customer,15,Business_travel,Eco,986,2,2,1,1,1,4,1,0,6,neutral_or_dissatisfied
433,Female,disloyal_Customer,25,Business_travel,Eco,196,2,4,5,5,5,1,5,0,5,neutral_or_dissatisfied
448,Female,disloyal_Customer,31,Business_travel,Eco,1118,1,1,2,2,2,4,2,0,20,neutral_or_dissatisfied
464,Female,disloyal_Customer,24,Business_travel,Eco,577,3,3,2,2,2,2,2,0,0,neutral_or_dissatisfied
500,Female,disloyal_Customer,23,Business_travel,Eco,271,5,0,3,4,3,5,3,62,84,satisfied
2,Male,disloyal_Customer,20,Business_travel,Eco,192,2,0,2,2,2,2,2,0,0,neutral_or_dissatisfied
32,Male,disloyal_Customer,41,Business_travel,Eco,624,2,3,5,5,5,4,5,0,0,neutral_or_dissatisfied
41,Male,disloyal_Customer,24,Business_travel,Eco,725,4,4,2,2,2,5,2,0,4,satisfied
59,Male,disloyal_Customer,36,Business_travel,Eco,331,2,0,1,1,1,3,1,0,0,neutral_or_dissatisfied
79,Male,disloyal_Customer,36,Business_travel,Eco,692,1,1,1,1,1,2,1,0,0,neutral_or_dissatisfied
84,Male,disloyal_Customer,21,Business_travel,Eco,447,2,2,1,1,1,3,1,7,0,neutral_or_dissatisfied
111,Male,disloyal_Customer,25,Business_travel,Eco,1310,2,2,3,3,3,4,3,0,24,neutral_or_dissatisfied
116,Male,disloyal_Customer,36,Business_travel,Eco,338,3,4,2,2,2,3,2,0,0,neutral_or_dissatisfied
156,Male,disloyal_Customer,15,Business_travel,Eco,449,1,4,3,4,3,5,3,0,0,neutral_or_dissatisfied
248,Male,disloyal_Customer,49,Business_travel,Eco,1754,3,3,4,5,4,4,4,33,28,neutral_or_dissatisfied
285,Male,disloyal_Customer,21,Business_travel,Eco,257,2,0,5,1,5,5,5,0,1,neutral_or_dissatisfied
348,Male,disloyal_Customer,46,Business_travel,Eco,1892,3,3,2,2,2,3,2,0,0,neutral_or_dissatisfied
399,Male,disloyal_Customer,21,Business_travel,Eco,1773,3,3,4,4,4,5,4,0,0,neutral_or_dissatisfied
416,Male,disloyal_Customer,19,Business_travel,Eco,461,3,3,3,4,4,4,4,141,121,neutral_or_dissatisfied
418,Male,disloyal_Customer,18,Business_travel,Eco,533,3,5,2,3,2,4,2,0,0,neutral_or_dissatisfied
453,Male,disloyal_Customer,45,Business_travel,Eco,926,3,3,5,2,5,4,5,26,44,neutral_or_dissatisfied
460,Male,disloyal_Customer,24,Business_travel,Eco,834,4,4,5,5,5,1,5,14,0,satisfied
462,Male,disloyal_Customer,43,Business_travel,Eco,1052,3,4,4,4,4,1,4,0,0,neutral_or_dissatisfied
0,Female,Loyal_Customer,52,Business_travel,Eco,160,5,4,3,3,5,5,5,50,44,satisfied
4,Female,Loyal_Customer,49,Business_travel,Eco,1182,2,3,4,2,2,2,4,0,20,satisfied
10,Female,Loyal_Customer,47,Business_travel,Eco,1235,4,1,5,5,3,3,4,29,19,satisfied
16,Female,Loyal_Customer,31,Business_travel,Eco,728,2,5,2,2,2,3,2,2,0,neutral_or_dissatisfied
27,Female,Loyal_Customer,22,Business_travel,Eco,1521,4,1,4,4,4,5,4,3,13,satisfied
31,Female,Loyal_Customer,56,Business_travel,Eco,308,2,3,5,5,2,2,2,0,0,satisfied
34,Female,Loyal_Customer,53,Business_travel,Eco,192,5,2,3,2,5,5,4,0,1,satisfied
45,Female,Loyal_Customer,62,Business_travel,Eco,550,5,1,4,1,5,5,2,92,90,satisfied
52,Female,Loyal_Customer,53,Business_travel,Eco,520,4,2,3,4,4,4,3,17,0,satisfied
89,Female,Loyal_Customer,53,Business_travel,Eco,329,1,0,1,3,4,4,1,0,0,neutral_or_dissatisfied
93,Female,Loyal_Customer,54,Business_travel,Eco,308,2,1,5,3,2,2,1,83,95,neutral_or_dissatisfied
122,Female,Loyal_Customer,45,Business_travel,Eco,288,5,1,1,3,5,5,3,29,40,satisfied
146,Female,Loyal_Customer,43,Business_travel,Eco,563,4,4,3,5,4,4,5,0,0,satisfied
152,Female,Loyal_Customer,25,Business_travel,Eco,1874,4,3,4,3,4,1,4,86,78,satisfied
154,Female,Loyal_Customer,48,Business_travel,Eco,95,5,3,1,1,5,5,2,0,0,satisfied
163,Female,Loyal_Customer,42,Business_travel,Eco,212,5,3,5,5,5,5,2,82,72,satisfied
192,Female,Loyal_Customer,38,Business_travel,Eco,599,1,4,1,1,1,3,1,8,0,neutral_or_dissatisfied
208,Female,Loyal_Customer,50,Business_travel,Eco,1276,2,2,4,3,2,2,1,35,49,neutral_or_dissatisfied
226,Female,Loyal_Customer,52,Business_travel,Eco,919,3,4,3,2,3,3,1,85,72,neutral_or_dissatisfied
260,Female,Loyal_Customer,20,Business_travel,Eco,951,2,3,2,4,2,4,2,57,41,neutral_or_dissatisfied
286,Female,Loyal_Customer,31,Business_travel,Eco,164,2,3,2,2,2,3,2,0,0,neutral_or_dissatisfied
323,Female,Loyal_Customer,56,Business_travel,Eco,106,5,2,4,2,5,5,3,11,4,satisfied
328,Female,Loyal_Customer,44,Business_travel,Eco,222,4,1,2,5,3,3,3,0,0,satisfied
342,Female,Loyal_Customer,31,Business_travel,Eco,646,3,4,3,3,3,3,3,0,0,neutral_or_dissatisfied
385,Female,Loyal_Customer,47,Business_travel,Eco,522,4,5,3,1,4,4,2,40,26,satisfied
391,Female,Loyal_Customer,50,Business_travel,Eco,109,5,1,4,1,5,5,2,0,11,satisfied
425,Female,Loyal_Customer,49,Business_travel,Eco,1750,1,5,1,1,4,2,1,132,117,neutral_or_dissatisfied
427,Female,Loyal_Customer,39,Business_travel,Eco,229,5,5,5,5,5,2,5,0,0,satisfied
439,Female,Loyal_Customer,55,Business_travel,Eco,907,2,3,4,3,2,2,3,19,11,neutral_or_dissatisfied
497,Female,Loyal_Customer,42,Business_travel,Eco,292,5,2,5,2,5,5,5,32,29,satisfied
508,Female,Loyal_Customer,36,Business_travel,Eco,455,3,1,3,3,3,3,3,0,0,neutral_or_dissatisfied
5,Male,Loyal_Customer,16,Business_travel,Eco,311,3,3,5,3,5,2,5,0,0,satisfied
8,Male,Loyal_Customer,47,Business_travel,Eco,556,5,2,5,5,5,3,5,1,0,satisfied
29,Male,Loyal_Customer,51,Business_travel,Eco,235,4,3,4,4,4,4,4,0,0,neutral_or_dissatisfied
53,Male,Loyal_Customer,56,Business_travel,Eco,321,2,3,2,2,2,3,2,0,0,neutral_or_dissatisfied
63,Male,Loyal_Customer,66,Business_travel,Eco,404,4,1,4,4,4,5,4,9,6,satisfied
110,Male,Loyal_Customer,45,Business_travel,Eco,1660,4,1,4,4,4,3,4,0,7,neutral_or_dissatisfied
140,Male,Loyal_Customer,13,Business_travel,Eco,1400,2,1,2,2,2,4,2,0,0,neutral_or_dissatisfied
202,Male,Loyal_Customer,53,Business_travel,Eco,359,1,3,1,1,1,4,1,0,0,neutral_or_dissatisfied
229,Male,Loyal_Customer,55,Business_travel,Eco,1416,5,2,5,5,5,5,5,1,0,satisfied
243,Male,Loyal_Customer,42,Business_travel,Eco,2586,1,3,1,1,3,4,1,0,0,neutral_or_dissatisfied
252,Male,Loyal_Customer,36,Business_travel,Eco,325,5,5,5,5,5,3,5,0,0,satisfied
278,Male,Loyal_Customer,41,Business_travel,Eco,862,2,2,2,2,2,3,2,0,0,satisfied
283,Male,Loyal_Customer,41,Business_travel,Eco,772,4,3,4,4,4,3,4,0,0,satisfied
287,Male,Loyal_Customer,38,Business_travel,Eco,166,4,3,4,4,4,5,4,17,17,satisfied
298,Male,Loyal_Customer,38,Business_travel,Eco,198,4,5,4,4,4,3,4,42,65,neutral_or_dissatisfied
304,Male,Loyal_Customer,22,Business_travel,Eco,1076,5,1,5,5,5,1,5,47,62,satisfied
340,Male,Loyal_Customer,46,Business_travel,Eco,552,4,4,4,4,4,3,4,4,0,satisfied
346,Male,Loyal_Customer,25,Business_travel,Eco,646,4,5,4,4,4,3,4,13,4,satisfied
363,Male,Loyal_Customer,39,Business_travel,Eco,109,3,3,3,3,3,3,3,0,5,neutral_or_dissatisfied
364,Male,Loyal_Customer,79,Business_travel,Eco,414,2,1,2,2,2,3,2,1,0,neutral_or_dissatisfied
370,Male,Loyal_Customer,48,Business_travel,Eco,425,5,4,5,5,5,4,5,0,0,satisfied
371,Male,Loyal_Customer,53,Business_travel,Eco,1095,3,5,3,3,3,4,3,0,0,neutral_or_dissatisfied
386,Male,Loyal_Customer,60,Business_travel,Eco,283,3,4,3,3,3,4,3,20,16,neutral_or_dissatisfied
398,Male,Loyal_Customer,50,Business_travel,Eco,2349,4,3,4,4,4,4,4,0,0,satisfied
408,Male,Loyal_Customer,54,Business_travel,Eco,528,2,3,2,2,2,2,2,0,0,neutral_or_dissatisfied
412,Male,Loyal_Customer,26,Business_travel,Eco,352,3,5,3,1,3,4,3,108,99,neutral_or_dissatisfied
422,Male,Loyal_Customer,41,Business_travel,Eco,77,5,1,5,5,5,2,5,0,0,satisfied
501,Male,Loyal_Customer,74,Business_travel,Eco,134,2,5,2,2,2,2,2,43,41,neutral_or_dissatisfied
18,Female,Loyal_Customer,43,Personal_Travel,Eco,1927,3,4,4,5,5,5,3,0,0,neutral_or_dissatisfied
39,Female,Loyal_Customer,40,Personal_Travel,Eco,628,1,4,5,5,5,4,5,4,0,neutral_or_dissatisfied
47,Female,Loyal_Customer,59,Personal_Travel,Eco,460,2,5,3,4,5,5,2,4,2,neutral_or_dissatisfied
49,Female,Loyal_Customer,44,Personal_Travel,Eco,1205,2,4,4,3,4,4,2,0,0,neutral_or_dissatisfied
57,Female,Loyal_Customer,67,Personal_Travel,Eco,626,3,4,2,5,3,3,5,0,0,neutral_or_dissatisfied
58,Female,Loyal_Customer,32,Personal_Travel,Eco,130,3,0,4,5,4,3,4,3,4,neutral_or_dissatisfied
61,Female,Loyal_Customer,70,Personal_Travel,Eco,1829,1,4,2,5,5,5,3,0,0,neutral_or_dissatisfied
62,Female,Loyal_Customer,55,Personal_Travel,Eco,646,3,2,4,4,5,5,3,0,3,neutral_or_dissatisfied
67,Female,Loyal_Customer,69,Personal_Travel,Eco,872,2,3,4,3,5,5,3,14,0,neutral_or_dissatisfied
75,Female,Loyal_Customer,44,Personal_Travel,Eco,528,2,5,2,4,5,5,3,0,0,neutral_or_dissatisfied
77,Female,Loyal_Customer,54,Personal_Travel,Eco,999,2,4,4,5,5,5,4,0,0,neutral_or_dissatisfied
81,Female,Loyal_Customer,50,Personal_Travel,Eco,140,2,4,4,5,2,2,5,0,0,neutral_or_dissatisfied
88,Female,Loyal_Customer,21,Personal_Travel,Eco,846,1,4,3,3,3,5,3,9,17,neutral_or_dissatisfied
96,Female,Loyal_Customer,38,Personal_Travel,Eco,397,2,5,5,5,5,5,5,0,0,neutral_or_dissatisfied
98,Female,Loyal_Customer,41,Personal_Travel,Eco,545,2,2,4,4,4,4,4,0,0,neutral_or_dissatisfied
102,Female,Loyal_Customer,38,Personal_Travel,Eco,293,4,4,5,5,5,4,5,5,0,satisfied
103,Female,Loyal_Customer,50,Personal_Travel,Eco,1085,3,5,5,5,5,5,4,0,0,neutral_or_dissatisfied
108,Female,Loyal_Customer,7,Personal_Travel,Eco,1120,3,5,2,2,2,5,2,16,13,neutral_or_dissatisfied
125,Female,Loyal_Customer,22,Personal_Travel,Eco,213,3,5,3,1,3,2,3,0,17,neutral_or_dissatisfied
130,Female,Loyal_Customer,17,Personal_Travel,Eco,89,3,4,5,3,5,5,5,0,0,neutral_or_dissatisfied
132,Female,Loyal_Customer,53,Personal_Travel,Eco,404,3,3,4,4,5,5,2,0,0,neutral_or_dissatisfied
138,Female,Loyal_Customer,7,Personal_Travel,Eco,516,2,4,5,5,5,4,5,0,0,neutral_or_dissatisfied
142,Female,Loyal_Customer,49,Personal_Travel,Eco,134,3,3,5,3,4,4,4,8,3,neutral_or_dissatisfied
148,Female,Loyal_Customer,69,Personal_Travel,Eco,631,3,5,3,4,5,5,1,0,0,neutral_or_dissatisfied
161,Female,Loyal_Customer,42,Personal_Travel,Eco,337,4,1,3,3,3,3,2,0,0,satisfied
162,Female,Loyal_Customer,8,Personal_Travel,Eco,253,3,3,4,4,4,3,4,0,0,neutral_or_dissatisfied
178,Female,Loyal_Customer,22,Personal_Travel,Eco,284,3,5,3,3,3,5,3,34,35,neutral_or_dissatisfied
185,Female,Loyal_Customer,32,Personal_Travel,Eco,641,3,4,2,2,2,4,2,0,0,neutral_or_dissatisfied
186,Female,Loyal_Customer,65,Personal_Travel,Eco,581,4,4,4,4,1,1,5,1,3,neutral_or_dissatisfied
189,Female,Loyal_Customer,67,Personal_Travel,Eco,599,3,1,1,2,3,3,1,0,0,neutral_or_dissatisfied
194,Female,Loyal_Customer,57,Personal_Travel,Eco,251,1,5,3,3,1,1,3,0,4,neutral_or_dissatisfied
200,Female,Loyal_Customer,39,Personal_Travel,Eco,1005,1,4,2,5,5,4,5,168,163,neutral_or_dissatisfied
203,Female,Loyal_Customer,61,Personal_Travel,Eco,1217,0,4,5,5,4,4,4,0,0,satisfied
212,Female,Loyal_Customer,38,Personal_Travel,Eco,562,5,3,4,4,4,3,4,0,0,satisfied
218,Female,Loyal_Customer,48,Personal_Travel,Eco,362,4,4,2,5,3,3,4,0,0,neutral_or_dissatisfied
231,Female,Loyal_Customer,9,Personal_Travel,Eco,715,4,4,1,1,1,4,1,11,4,satisfied
241,Female,Loyal_Customer,11,Personal_Travel,Eco,760,3,5,5,5,5,4,5,102,88,neutral_or_dissatisfied
242,Female,Loyal_Customer,32,Personal_Travel,Eco,1036,1,5,5,5,5,4,5,12,9,neutral_or_dissatisfied
255,Female,Loyal_Customer,29,Personal_Travel,Eco,331,3,4,3,3,3,4,3,0,0,neutral_or_dissatisfied
267,Female,Loyal_Customer,50,Personal_Travel,Eco,488,3,5,3,5,5,5,3,0,0,neutral_or_dissatisfied
277,Female,Loyal_Customer,52,Personal_Travel,Eco,2279,2,5,2,2,5,4,2,17,79,neutral_or_dissatisfied
279,Female,Loyal_Customer,14,Personal_Travel,Eco,666,3,3,3,1,4,4,1,243,251,neutral_or_dissatisfied
296,Female,Loyal_Customer,39,Personal_Travel,Eco,889,2,5,3,3,3,4,3,38,30,neutral_or_dissatisfied
315,Female,Loyal_Customer,64,Personal_Travel,Eco,651,4,5,2,4,2,2,5,0,0,neutral_or_dissatisfied
316,Female,Loyal_Customer,49,Personal_Travel,Eco,342,3,4,4,4,4,4,5,0,0,neutral_or_dissatisfied
327,Female,Loyal_Customer,10,Personal_Travel,Eco,1558,2,4,1,1,1,4,1,91,93,neutral_or_dissatisfied
343,Female,Loyal_Customer,53,Personal_Travel,Eco,404,4,4,5,5,3,3,5,21,13,neutral_or_dissatisfied
352,Female,Loyal_Customer,14,Personal_Travel,Eco,237,2,4,2,2,2,5,2,3,12,neutral_or_dissatisfied
354,Female,Loyal_Customer,53,Personal_Travel,Eco,950,1,5,2,4,1,1,3,0,0,neutral_or_dissatisfied
357,Female,Loyal_Customer,49,Personal_Travel,Eco,197,2,3,4,3,3,3,1,3,0,neutral_or_dissatisfied
359,Female,Loyal_Customer,70,Personal_Travel,Eco,541,3,4,4,4,5,5,5,0,0,neutral_or_dissatisfied
369,Female,Loyal_Customer,21,Personal_Travel,Eco,401,3,2,5,5,5,3,5,71,117,neutral_or_dissatisfied
381,Female,Loyal_Customer,17,Personal_Travel,Eco,1892,1,1,1,2,1,3,1,0,0,neutral_or_dissatisfied
392,Female,Loyal_Customer,26,Personal_Travel,Eco,271,3,0,5,5,5,4,5,100,93,neutral_or_dissatisfied
405,Female,Loyal_Customer,29,Personal_Travel,Eco,413,3,1,1,1,1,4,1,7,14,neutral_or_dissatisfied
406,Female,Loyal_Customer,12,Personal_Travel,Eco,372,4,5,5,5,5,5,5,89,88,neutral_or_dissatisfied
431,Female,Loyal_Customer,31,Personal_Travel,Eco,261,3,4,3,3,3,4,3,87,75,neutral_or_dissatisfied
432,Female,Loyal_Customer,32,Personal_Travel,Eco,557,3,4,3,3,3,5,3,81,63,neutral_or_dissatisfied
438,Female,Loyal_Customer,70,Personal_Travel,Eco,409,3,5,2,5,5,5,3,0,14,neutral_or_dissatisfied
446,Female,Loyal_Customer,13,Personal_Travel,Eco,501,3,4,2,2,2,4,2,0,0,neutral_or_dissatisfied
454,Female,Loyal_Customer,65,Personal_Travel,Eco,192,1,2,5,3,2,2,3,0,0,neutral_or_dissatisfied
456,Female,Loyal_Customer,8,Personal_Travel,Eco,733,4,2,3,3,3,2,3,0,0,neutral_or_dissatisfied
459,Female,Loyal_Customer,10,Personal_Travel,Eco,2338,3,4,5,5,5,5,5,1,0,neutral_or_dissatisfied
466,Female,Loyal_Customer,8,Personal_Travel,Eco,237,1,5,2,3,2,4,2,0,0,neutral_or_dissatisfied
480,Female,Loyal_Customer,68,Personal_Travel,Eco,1117,3,2,3,3,5,5,4,7,0,neutral_or_dissatisfied
487,Female,Loyal_Customer,50,Personal_Travel,Eco,370,2,1,1,3,4,4,3,0,0,neutral_or_dissatisfied
15,Male,Loyal_Customer,50,Personal_Travel,Eco,83,3,4,2,2,2,5,2,5,2,neutral_or_dissatisfied
21,Male,Loyal_Customer,43,Personal_Travel,Eco,1437,3,4,2,2,2,5,2,0,0,neutral_or_dissatisfied
22,Male,Loyal_Customer,55,Personal_Travel,Eco,302,1,2,4,4,4,3,4,0,0,neutral_or_dissatisfied
25,Male,Loyal_Customer,62,Personal_Travel,Eco,710,3,5,2,2,2,4,2,0,0,neutral_or_dissatisfied
33,Male,Loyal_Customer,22,Personal_Travel,Eco,1846,4,5,5,5,5,4,5,40,68,neutral_or_dissatisfied
35,Male,Loyal_Customer,12,Personal_Travel,Eco,674,3,4,1,1,1,4,1,80,70,neutral_or_dissatisfied
101,Male,Loyal_Customer,67,Personal_Travel,Eco,899,2,5,2,2,2,5,2,0,0,neutral_or_dissatisfied
107,Male,Loyal_Customer,38,Personal_Travel,Eco,237,3,4,2,2,2,3,2,0,2,neutral_or_dissatisfied
113,Male,Loyal_Customer,34,Personal_Travel,Eco,209,3,4,1,1,1,3,1,0,0,neutral_or_dissatisfied
118,Male,Loyal_Customer,40,Personal_Travel,Eco,1368,3,4,3,3,3,4,3,0,0,neutral_or_dissatisfied
124,Male,Loyal_Customer,34,Personal_Travel,Eco,201,3,5,2,5,2,1,2,3,8,neutral_or_dissatisfied
126,Male,Loyal_Customer,21,Personal_Travel,Eco,1096,2,2,2,3,2,4,2,0,0,neutral_or_dissatisfied
149,Male,Loyal_Customer,59,Personal_Travel,Eco,351,4,3,1,1,1,4,1,0,0,satisfied
151,Male,Loyal_Customer,11,Personal_Travel,Eco,562,5,5,3,3,3,2,3,0,0,satisfied
175,Male,Loyal_Customer,19,Personal_Travel,Eco,587,3,4,1,1,1,4,1,0,0,neutral_or_dissatisfied
177,Male,Loyal_Customer,44,Personal_Travel,Eco,1249,3,4,5,5,5,4,5,25,6,neutral_or_dissatisfied
181,Male,Loyal_Customer,46,Personal_Travel,Eco,895,4,5,1,1,1,5,1,40,25,satisfied
183,Male,Loyal_Customer,62,Personal_Travel,Eco,588,2,1,1,1,1,3,1,0,0,neutral_or_dissatisfied
195,Male,Loyal_Customer,13,Personal_Travel,Eco,1119,1,5,2,2,2,5,2,0,0,neutral_or_dissatisfied
205,Male,Loyal_Customer,16,Personal_Travel,Eco,2586,3,5,4,4,4,4,4,45,42,neutral_or_dissatisfied
213,Male,Loyal_Customer,31,Personal_Travel,Eco,404,5,1,3,3,3,4,3,0,0,satisfied
220,Male,Loyal_Customer,64,Personal_Travel,Eco,129,1,0,1,1,1,4,1,13,9,neutral_or_dissatisfied
221,Male,Loyal_Customer,67,Personal_Travel,Eco,591,2,4,5,3,5,5,5,0,0,neutral_or_dissatisfied
235,Male,Loyal_Customer,34,Personal_Travel,Eco,1053,4,4,3,3,3,5,3,34,15,neutral_or_dissatisfied
236,Male,Loyal_Customer,59,Personal_Travel,Eco,2521,1,1,1,5,2,2,5,0,2,neutral_or_dissatisfied
238,Male,Loyal_Customer,44,Personal_Travel,Eco,158,4,4,2,2,2,5,2,0,0,neutral_or_dissatisfied
245,Male,Loyal_Customer,33,Personal_Travel,Eco,646,2,4,3,3,3,5,3,1,0,neutral_or_dissatisfied
247,Male,Loyal_Customer,44,Personal_Travel,Eco,227,4,5,2,2,2,5,2,0,0,satisfied
257,Male,Loyal_Customer,7,Personal_Travel,Eco,727,1,5,4,4,4,4,4,0,0,neutral_or_dissatisfied
281,Male,Loyal_Customer,11,Personal_Travel,Eco,2338,2,4,2,1,3,4,1,152,151,neutral_or_dissatisfied
282,Male,Loyal_Customer,12,Personal_Travel,Eco,946,1,3,2,2,2,3,2,0,0,neutral_or_dissatisfied
289,Male,Loyal_Customer,13,Personal_Travel,Eco,590,5,4,5,5,5,4,5,0,0,satisfied
293,Male,Loyal_Customer,44,Personal_Travel,Eco,1024,3,1,4,4,4,3,4,2,0,neutral_or_dissatisfied
300,Male,Loyal_Customer,19,Personal_Travel,Eco,873,1,0,4,4,4,5,4,57,65,neutral_or_dissatisfied
302,Male,Loyal_Customer,22,Personal_Travel,Eco,1145,3,5,4,4,4,5,4,0,10,neutral_or_dissatisfied
306,Male,Loyal_Customer,39,Personal_Travel,Eco,507,3,5,4,4,4,5,4,0,0,neutral_or_dissatisfied
307,Male,Loyal_Customer,29,Personal_Travel,Eco,325,4,3,5,5,5,4,5,0,0,satisfied
325,Male,Loyal_Customer,25,Personal_Travel,Eco,965,2,5,2,2,2,5,2,0,0,neutral_or_dissatisfied
333,Male,Loyal_Customer,64,Personal_Travel,Eco,1024,4,4,4,4,4,4,4,12,5,neutral_or_dissatisfied
349,Male,Loyal_Customer,10,Personal_Travel,Eco,612,3,4,1,1,1,3,1,0,0,neutral_or_dissatisfied
351,Male,Loyal_Customer,32,Personal_Travel,Eco,1357,3,3,5,5,5,3,5,4,0,neutral_or_dissatisfied
362,Male,Loyal_Customer,7,Personal_Travel,Eco,563,2,4,2,2,2,4,2,0,0,neutral_or_dissatisfied
374,Male,Loyal_Customer,59,Personal_Travel,Eco,946,4,2,1,1,1,3,1,0,0,satisfied
376,Male,Loyal_Customer,24,Personal_Travel,Eco,125,2,4,2,3,2,3,2,47,94,neutral_or_dissatisfied
377,Male,Loyal_Customer,56,Personal_Travel,Eco,429,2,1,3,3,3,2,3,35,29,neutral_or_dissatisfied
400,Male,Loyal_Customer,61,Personal_Travel,Eco,802,1,3,4,4,4,4,4,0,0,neutral_or_dissatisfied
409,Male,Loyal_Customer,69,Personal_Travel,Eco,989,1,4,5,5,5,5,5,6,3,neutral_or_dissatisfied
410,Male,Loyal_Customer,38,Personal_Travel,Eco,920,1,2,3,3,3,4,3,0,0,neutral_or_dissatisfied
417,Male,Loyal_Customer,63,Personal_Travel,Eco,622,3,5,3,3,3,5,3,10,11,neutral_or_dissatisfied
419,Male,Loyal_Customer,52,Personal_Travel,Eco,125,3,5,3,2,3,3,3,0,0,neutral_or_dissatisfied
426,Male,Loyal_Customer,18,Personal_Travel,Eco,793,4,4,3,4,3,4,3,91,71,satisfied
440,Male,Loyal_Customer,53,Personal_Travel,Eco,262,1,5,5,5,5,1,5,70,55,neutral_or_dissatisfied
444,Male,Loyal_Customer,19,Personal_Travel,Eco,308,1,4,5,5,5,4,5,91,92,neutral_or_dissatisfied
450,Male,Loyal_Customer,29,Personal_Travel,Eco,1085,4,4,2,2,2,5,2,8,11,neutral_or_dissatisfied
457,Male,Loyal_Customer,36,Personal_Travel,Eco,814,1,0,5,5,5,5,5,32,12,neutral_or_dissatisfied
474,Male,Loyal_Customer,70,Personal_Travel,Eco,456,0,1,4,4,4,4,4,19,45,satisfied
479,Male,Loyal_Customer,39,Personal_Travel,Eco,163,3,5,1,1,1,4,1,0,0,neutral_or_dissatisfied
482,Male,Loyal_Customer,18,Personal_Travel,Eco,1342,3,4,3,3,3,5,3,0,0,neutral_or_dissatisfied
483,Male,Loyal_Customer,15,Personal_Travel,Eco,304,3,5,2,1,2,4,2,0,0,neutral_or_dissatisfied
485,Male,Loyal_Customer,49,Personal_Travel,Eco,216,3,4,3,3,3,4,3,0,0,neutral_or_dissatisfied
486,Male,Loyal_Customer,25,Personal_Travel,Eco,489,3,3,3,5,3,4,3,8,14,neutral_or_dissatisfied
499,Male,Loyal_Customer,29,Personal_Travel,Eco,861,1,1,4,4,4,4,4,0,0,neutral_or_dissatisfied
509,Male,Loyal_Customer,16,Personal_Travel,Eco,308,3,4,1,5,1,4,1,2,0,neutral_or_dissatisfied
74,Female,disloyal_Customer,26,Business_travel,Eco_Plus,913,1,2,4,3,4,4,4,0,0,neutral_or_dissatisfied
135,Female,disloyal_Customer,28,Business_travel,Eco_Plus,599,2,2,4,4,4,3,4,0,46,neutral_or_dissatisfied
276,Female,disloyal_Customer,37,Business_travel,Eco_Plus,373,4,4,3,3,3,1,3,0,0,neutral_or_dissatisfied
367,Female,disloyal_Customer,27,Business_travel,Eco_Plus,1192,1,1,1,1,1,4,1,0,32,neutral_or_dissatisfied
411,Female,disloyal_Customer,25,Business_travel,Eco_Plus,853,1,1,4,4,4,3,4,0,0,neutral_or_dissatisfied
164,Male,disloyal_Customer,18,Business_travel,Eco_Plus,342,1,1,3,3,3,3,3,32,41,neutral_or_dissatisfied
44,Female,Loyal_Customer,36,Business_travel,Eco_Plus,267,2,3,2,2,2,4,2,59,55,neutral_or_dissatisfied
188,Female,Loyal_Customer,30,Business_travel,Eco_Plus,326,0,0,2,2,2,5,2,0,0,satisfied
204,Female,Loyal_Customer,61,Business_travel,Eco_Plus,384,4,5,3,2,4,4,5,96,102,satisfied
217,Female,Loyal_Customer,56,Business_travel,Eco_Plus,308,4,2,5,4,4,4,2,0,0,satisfied
227,Female,Loyal_Customer,45,Business_travel,Eco_Plus,576,4,2,3,3,4,4,2,0,0,satisfied
292,Female,Loyal_Customer,30,Business_travel,Eco_Plus,814,5,5,5,5,5,3,5,0,0,satisfied
338,Female,Loyal_Customer,43,Business_travel,Eco_Plus,189,1,2,4,3,1,1,2,13,11,neutral_or_dissatisfied
442,Female,Loyal_Customer,32,Business_travel,Eco_Plus,859,0,0,3,2,3,4,3,0,0,satisfied
78,Male,Loyal_Customer,42,Business_travel,Eco_Plus,489,2,2,2,2,2,2,2,0,0,neutral_or_dissatisfied
120,Male,Loyal_Customer,25,Business_travel,Eco_Plus,680,0,5,1,1,1,5,1,0,0,satisfied
266,Male,Loyal_Customer,41,Business_travel,Eco_Plus,641,5,1,5,5,5,5,5,0,0,satisfied
382,Male,Loyal_Customer,31,Business_travel,Eco_Plus,789,2,4,2,2,2,4,2,0,0,neutral_or_dissatisfied
420,Male,Loyal_Customer,60,Business_travel,Eco_Plus,1464,3,2,3,3,3,4,3,0,3,neutral_or_dissatisfied
447,Male,Loyal_Customer,53,Business_travel,Eco_Plus,550,3,4,3,3,3,3,3,0,0,satisfied
50,Female,Loyal_Customer,58,Personal_Travel,Eco_Plus,990,3,5,3,5,1,1,3,0,0,neutral_or_dissatisfied
65,Female,Loyal_Customer,53,Personal_Travel,Eco_Plus,964,1,5,4,5,4,4,4,6,0,neutral_or_dissatisfied
